id,enrollment_id ,First Name,Middle Initial,Last Name,Roll,class_section, Name,Father's Name,Phone No. ,E Mail,Status,"Place Name,City Pin Code: Zip",0,"insert into student_school values(id,enrollment_id ,Roll,class_section,' Name','Father's Name',Phone No. ,'E Mail','Status','Place Name,City Pin Code: Zip')",Weight in Kgs.,Date of Joining,Quarter of Joining,Half of Joining,Year of Joining,,Month Name of Joining,Short Month,Day of Joining,DOW of Joining,Short DOW,Age in Company (Years),Salary,Last % Hike,SSN,,Place Name,County,City,State,Zip,Region,User Name,Password
1,677509,Lois,H,Walker,1,1,Lois Walker,Donald Walker,3035728492,lois.walker@hotmail.com,y,"Denver,Denver Pin Code: 80224",1,"insert into student_school values(1,677509,1,1,'Lois Walker','Donald Walker',3035728492,'lois.walker@hotmail.com','y','Denver,Denver Pin Code: 80224')",60,11/24/2003,Q4,H2,2003,,November,Nov,24,Monday,Mon,13.68,168251,21%,467994677,,Denver,Denver,Denver,CO,80224,West,lhwalker,DCa}.T}X:v?NP
2,940761,Brenda,S,Robinson,1,2,Brenda Robinson,Raymond Robinson,2259454954,brenda.robinson@gmail.com,y,"Stonewall,Stonewall Pin Code: 71078",2,"insert into student_school values(2,940761,1,2,'Brenda Robinson','Raymond Robinson',2259454954,'brenda.robinson@gmail.com','y','Stonewall,Stonewall Pin Code: 71078')",60,7/27/2008,Q3,H2,2008,,July,Jul,27,Sunday,Sun,9.01,51063,27%,537714566,,Stonewall,De Soto,Stonewall,LA,71078,South,bsrobinson,TCo\j#Zg;SQ~o
3,428945,Joe,W,Robinson,1,3,Joe Robinson,Scott Robinson,2199042161,joe.robinson@gmail.com,y,"Michigantown,Michigantown Pin Code: 46057",3,"insert into student_school values(3,428945,1,3,'Joe Robinson','Scott Robinson',2199042161,'joe.robinson@gmail.com','y','Michigantown,Michigantown Pin Code: 46057')",68,###############################################################################################################################################################################################################################################################,Q3,H2,2016,,August,Aug,3,Wednesday,Wed,0.98,50155,16%,25923584,,Michigantown,Clinton,Michigantown,IN,46057,Midwest,jwrobinson,GO4$J8MiEh[A
4,408351,Diane,I,Evans,1,4,Diane Evans,Jason Evans,2157936791,diane.evans@yahoo.com,y,"Hydetown,Hydetown Pin Code: 16328",4,"insert into student_school values(4,408351,1,4,'Diane Evans','Jason Evans',2157936791,'diane.evans@yahoo.com','y','Hydetown,Hydetown Pin Code: 16328')",51,4/16/1999,Q2,H1,1999,,April,Apr,16,Friday,Fri,18.3,180294,1%,314359851,,Hydetown,Crawford,Hydetown,PA,16328,Northeast,dievans,0gGRtp1HfL<r5
5,193819,Benjamin,R,Russell,1,5,Benjamin Russell,Gregory Russell,2624042252,benjamin.russell@charter.net,y,"Fremont,Fremont Pin Code: 54940",5,"insert into student_school values(5,193819,1,5,'Benjamin Russell','Gregory Russell',2624042252,'benjamin.russell@charter.net','y','Fremont,Fremont Pin Code: 54940')",58,7/25/2013,Q3,H2,2013,,July,Jul,25,Thursday,Thu,4.01,117642,13%,121987248,,Fremont,Waupaca,Fremont,WI,54940,Midwest,brrussell,Rd<Y8cp!@R;*%F
6,499687,Patrick,F,Bailey,1,6,Patrick Bailey,Ralph Bailey,3198126957,patrick.bailey@aol.com,y,"Macksburg,Macksburg Pin Code: 50155",6,"insert into student_school values(6,499687,1,6,'Patrick Bailey','Ralph Bailey',3198126957,'patrick.bailey@aol.com','y','Macksburg,Macksburg Pin Code: 50155')",58,7/22/2005,Q3,H2,2005,,July,Jul,22,Friday,Fri,12.02,72305,5%,439997721,,Macksburg,Madison,Macksburg,IA,50155,Midwest,pfbailey,K7&5aY/*
7,539712,Nancy,T,Baker,1,7,Nancy Baker,Scott Baker,2293365117,nancy.baker@bp.com,y,"Atlanta,Atlanta Pin Code: 30334",7,"insert into student_school values(7,539712,1,7,'Nancy Baker','Scott Baker',2293365117,'nancy.baker@bp.com','y','Atlanta,Atlanta Pin Code: 30334')",50,9/14/2016,Q3,H2,2016,,September,Sep,14,Wednesday,Wed,0.87,98189,0%,641292071,,Atlanta,Fulton,Atlanta,GA,30334,South,ntbaker,xJdKlAcYQhT_BE#
8,380086,Carol,V,Murphy,1,8,Carol Murphy,Eugene Murphy,2163360009,carol.murphy@gmail.com,y,"Blanchester,Blanchester Pin Code: 45107",8,"insert into student_school values(8,380086,1,8,'Carol Murphy','Eugene Murphy',2163360009,'carol.murphy@gmail.com','y','Blanchester,Blanchester Pin Code: 45107')",40,1/28/1983,Q1,H1,1983,,January,Jan,28,Friday,Fri,34.52,60918,20%,423677023,,Blanchester,Clinton,Blanchester,OH,45107,Midwest,cvmurphy,Uc+VG%vuZU<k
9,477616,Frances,B,Young,1,9,Frances Young,Fred Young,2108199765,frances.young@gmail.com,y,"Delmita,Delmita Pin Code: 78536",9,"insert into student_school values(9,477616,1,9,'Frances Young','Fred Young',2108199765,'frances.young@gmail.com','y','Delmita,Delmita Pin Code: 78536')",42,4/27/1994,Q2,H1,1994,,April,Apr,27,Wednesday,Wed,23.27,121587,28%,28928912,,Delmita,Starr,Delmita,TX,78536,South,fbyoung,K}^USc0l7[A
10,162402,Diana,T,Peterson,1,10,Diana Peterson,Jonathan Peterson,4797835656,diana.peterson@hotmail.co.uk,y,"Eureka Springs,Eureka Springs Pin Code: 72632",10,"insert into student_school values(10,162402,1,10,'Diana Peterson','Jonathan Peterson',4797835656,'diana.peterson@hotmail.co.uk','y','Eureka Springs,Eureka Springs Pin Code: 72632')",60,2/17/2014,Q1,H1,2014,,February,Feb,17,Monday,Mon,3.44,43010,4%,512336767,,Eureka Springs,Carroll,Eureka Springs,AR,72632,South,dtpeterson,3o8>v&tYxjyEAo
